 , ,PSO, , ,GA, 
File,Error PSO,Running time PSO,Generations PSO,Error GA,Running time GA,Generations GA
no-dem9_r30_1.in,0.15002853763914986,921.9036042690277,21,0.18671985751629186,912.2535190582275,20
no-dem9_r45_1.in,0.05659391949221059,929.1848874092102,21,0.14589893802653645,906.7156476974487,19
no-dem9_r50_1.in,0.2651863124567498,918.1138324737549,20,0.15199520708941203,921.2781751155853,19
uu-dem10_r25_1.in,0.18969476310705224,909.9578413963318,19,0.1294961261793357,913.0676980018616,18
uu-dem10_r30_1.in,0.3846269228694017,916.2927947044373,19,0.1383405864256128,916.7962973117828,19
uu-dem10_r45_1.in,0.2727507590803027,927.1483390331268,19,0.3296446376907156,932.5238230228424,20
uu-dem10_r50_1.in,0.047681636927029425,916.5197601318359,20,0.09255197175098424,900.471054315567,18
uu-dem1_r25_1.in,0.12413348970750324,926.5838799476624,22,0.13097222964376676,910.2119498252869,19
uu-dem1_r30_1.in,0.06951051424053599,915.9650950431824,21,0.13348868053609733,911.0454461574554,19
uu-dem1_r45_1.in,0.272473036342032,917.313972234726,20,0.08611168188118355,922.7611649036407,20
uu-dem1_r50_1.in,0.13717456065166625,921.3536286354065,21,0.1699909530569406,922.717214345932,20
uu-dem2_r25_1.in,0.23812180754260237,913.7388000488281,19,0.31821668179019214,922.6222133636475,19
uu-dem2_r30_1.in,0.21329571207851292,926.9678237438202,21,0.11585192808202821,911.1977508068085,19
uu-dem2_r45_1.in,0.03331374316630886,923.5592586994171,24,0.10796229126255437,922.6984231472015,20
uu-dem2_r50_1.in,0.13223862383562562,902.0740087032318,21,0.09005435303586826,923.1060185432434,21
uu-dem3_r25_1.in,0.348056356813713,915.5485506057739,21,0.4433666196254843,915.0099637508392,19
uu-dem3_r30_1.in,0.2378756409432749,928.8429043292999,21,0.050995547383491956,918.703357219696,19
uu-dem3_r45_1.in,0.20756399951886723,918.807900428772,22,0.14847897230450716,909.8906171321869,19
uu-dem3_r50_1.in,0.17810209466481247,916.3780817985535,20,0.07539323241065865,911.2956435680389,20
uu-dem4_r25_1.in,0.391669294692292,924.1717529296875,20,0.10498303221369283,901.4543249607086,19
uu-dem4_r30_1.in,0.23329911133879033,921.8487639427185,23,0.09853590577196501,923.8984005451202,19
uu-dem4_r45_1.in,0.2588993776930759,912.7997438907623,21,0.044675943011152505,919.4703948497772,19
uu-dem4_r50_1.in,0.368070406883302,901.742595911026,19,0.026016978564303822,913.0385890007019,20
uu-dem5_r25_1.in,0.20280684756902403,902.5609729290009,17,0.2827558937987654,906.5578362941742,18
uu-dem5_r30_1.in,0.44240473919757295,923.4349386692047,19,0.43695310588890246,929.7935762405396,19
uu-dem5_r45_1.in,0.158214708042296,907.980726480484,19,0.023547070152013905,921.3076066970825,20
uu-dem5_r50_1.in,0.21655995388767277,909.9998853206635,21,0.0510544861633954,920.6571109294891,20
uu-dem6_r25_1.in,0.30030622205318536,928.2240526676178,20,0.3607650319329659,928.5518386363983,20
uu-dem6_r30_1.in,0.2723275376878007,909.7005658149719,20,0.13876634065175236,902.5029747486115,19
uu-dem6_r45_1.in,0.23507317930722613,924.4881145954132,20,0.09766425827466921,924.788369178772,20
uu-dem6_r50_1.in,0.07902656549880463,905.1970293521881,22,0.09193049437303613,911.739837884903,20
uu-dem7_r25_1.in,0.40700752072017815,920.2538154125214,22,0.32178842227212695,910.6423971652985,19
uu-dem7_r30_1.in,0.14239623580542732,910.9859571456909,20,0.39218788424236156,927.689909696579,19
uu-dem7_r45_1.in,0.03005289223456139,909.2330207824707,20,0.023474809872351298,924.07159948349,19
uu-dem7_r50_1.in,0.051709418990665765,900.8978679180145,20,0.02176564361155273,927.052384853363,20
uu-dem8_r25_1.in,0.272933294453129,909.0477659702301,22,0.2473958803879708,930.8451838493347,20
uu-dem8_r30_1.in,0.14515580647386594,923.353030204773,21,0.061910802226215644,915.2635180950165,19
uu-dem8_r45_1.in,0.24049974197359433,913.3860332965851,20,0.07319475173051092,916.5324625968933,19
uu-dem8_r50_1.in,0.05803123619723973,922.2430453300476,21,0.07156910890014517,915.533390045166,20
uu-dem9_r25_1.in,0.565136855117258,917.4064514636993,20,0.30392548756012316,917.678994178772,20
uu-dem9_r30_1.in,0.400016234101786,922.588077545166,20,0.18944489350576546,904.5529587268829,19
uu-dem9_r45_1.in,0.06747007393391395,917.2390592098236,21,0.04841075901730002,927.3243062496185,20
uu-dem9_r50_1.in,0.41925636571760555,909.2856841087341,19,0.10408135718498181,910.974062204361,19
Mean PSO,Variance PSO,Running time PSO,Generations PSO,Mean GA,Variance GA,Running time GA,Generations GA
0.2293718182096073,0.022208225800066123,915.4733165522416,20.883333333333333,0.16541814300375968,0.018981175183727102,915.0399144232273,19.258333333333333
