 , ,PSO, , ,GA, 
File,Error PSO,Running time PSO,Generations PSO,Error GA,Running time GA,Generations GA
ga-dem6_r30_1.in,0.9362140444938138,1090.5721325874329,5,0.5119877308982347,920.584813117981,4
ga-dem6_r45_1.in,0.830397165283714,1111.700382232666,5,0.5539072617240888,925.8955731391907,4
ga-dem6_r50_1.in,0.27648879419088557,1096.9971301555634,5,0.3424144722286237,905.2451927661896,4
ga-dem7_r25_1.in,0.4354777108208785,1110.0030844211578,5,0.8268644034886987,924.1447341442108,4
ga-dem7_r30_1.in,0.37151077020013945,1080.1462967395782,5,0.46041798952041996,919.2764930725098,4
ga-dem7_r45_1.in,0.5215202903925087,1076.4655706882477,5,0.4298922251750148,921.2187628746033,4
ga-dem7_r50_1.in,0.2517439324164765,1090.9781022071838,5,0.2517317901770983,911.0902190208435,4
ga-dem8_r25_1.in,0.5050966416869968,1065.771428823471,5,0.3788820170697076,927.9854619503021,4
ga-dem8_r30_1.in,0.4480087372772782,1068.782804965973,5,0.4755281002044502,914.9849998950958,4
ga-dem8_r45_1.in,0.4820851686273776,1078.88374209404,5,0.4523679394608848,927.001763343811,4
ga-dem8_r50_1.in,0.2209601126942111,1076.5975785255432,5,0.3224395921879295,900.147408246994,4
ga-dem9_r25_1.in,0.9219489783584401,1069.42946434021,5,0.4409847905715827,953.7849659919739,5
ga-dem9_r30_1.in,0.509353450134434,1093.3834912776947,5,0.5187243413011402,907.0093672275543,4
ga-dem9_r45_1.in,0.47473202980189017,1017.9042329788208,5,0.3469822700395253,916.1773090362549,4
ga-dem9_r50_1.in,0.1304610179134603,1059.2905480861664,5,0.43298293818034184,925.5176730155945,4
no-dem10_r25_1.in,0.5216428283287041,1064.50612449646,5,0.4021159667787067,923.3265748023987,4
no-dem10_r30_1.in,0.40804544245011604,1102.1249568462372,5,0.408464497735776,919.8609716892242,4
no-dem10_r45_1.in,0.22617730739705852,1113.8464043140411,5,0.22192051638410482,950.6737921237946,5
no-dem10_r50_1.in,0.47686852090710086,1095.2956938743591,5,0.5571883003609124,925.9696462154388,4
no-dem1_r25_1.in,0.7957977605195441,1079.5999503135681,5,0.48863330711613234,934.3009915351868,4
no-dem1_r30_1.in,0.7411146408686129,1087.215973854065,5,0.24873008029782195,934.8933343887329,4
no-dem1_r45_1.in,0.5236481241814845,1093.640149116516,5,0.20856424920416378,904.9711022377014,4
no-dem1_r50_1.in,0.4001234980982103,1073.755117893219,5,0.4983720312083857,917.3120324611664,4
no-dem2_r25_1.in,0.4830692651250292,1059.0427923202515,5,0.559027995375894,921.77352643013,4
no-dem2_r30_1.in,0.6753116435361893,1146.6455023288727,5,0.28180344930005774,999.211995601654,5
no-dem2_r45_1.in,0.5246819918850075,1097.8692841529846,5,0.42108532633742174,907.585978269577,4
no-dem2_r50_1.in,0.16960706221798272,1042.675509929657,5,0.44080944913837383,937.5291402339935,4
no-dem3_r25_1.in,0.3455688505825892,1081.9288876056671,5,0.30987970630794065,908.9996163845062,4
no-dem3_r30_1.in,0.35894203901251304,1072.1595709323883,5,0.4919950642374267,933.3303024768829,4
no-dem3_r45_1.in,0.2711019523033222,1088.483515739441,5,0.12073569637667791,934.7957384586334,4
no-dem3_r50_1.in,0.42993456806869224,1123.0978906154633,5,0.3169619905840547,911.0336201190948,4
no-dem4_r25_1.in,0.3477515732207342,1075.1461260318756,5,0.43108301060648946,924.1015379428864,4
no-dem4_r30_1.in,0.4177271634966095,1095.6072313785553,5,0.5526113134656097,966.8279612064362,5
no-dem4_r45_1.in,0.36424970072163654,1099.3565232753754,5,0.2262273756089201,909.7602519989014,4
no-dem4_r50_1.in,0.2593060779718295,1110.0471975803375,5,0.38403042080084926,902.815488576889,4
no-dem5_r25_1.in,0.22609966906116555,1074.9741261005402,5,0.771201276398671,907.7402777671814,4
no-dem5_r30_1.in,0.23531627211407544,1070.8037660121918,5,0.5388243080766737,929.7879095077515,4
no-dem5_r45_1.in,0.3673646594340729,1101.5745058059692,5,0.36198026038304415,938.2554440498352,4
no-dem5_r50_1.in,0.37104629659193017,1104.7744789123535,5,0.2862045610212981,912.6087536811829,4
no-dem6_r25_1.in,0.6468342470151776,1080.7310979366302,5,0.370785347918959,928.9107234477997,4
no-dem6_r30_1.in,0.41192879349739786,1083.6235980987549,5,0.5500613999873822,935.2905280590057,4
no-dem6_r45_1.in,0.33766938796372237,1096.6847002506256,5,0.40717395727024736,919.3844563961029,4
no-dem6_r50_1.in,0.1532776687933158,1107.6953065395355,5,0.35803656646187654,911.5910179615021,4
no-dem7_r25_1.in,0.39552329831873256,1092.7200512886047,5,0.1901020891994977,923.1869795322418,4
no-dem7_r30_1.in,0.2472687988002947,1052.2361822128296,5,0.3779120525955944,937.5804357528687,4
no-dem7_r45_1.in,0.3226882753263945,1109.0647375583649,5,0.5410040673546113,957.6569275856018,4
no-dem7_r50_1.in,0.3968336018648229,1093.6490228176117,5,0.3563973005985749,911.3599500656128,4
no-dem8_r25_1.in,0.37949846682559346,1082.1591668128967,5,0.5019297793295453,928.444925069809,4
no-dem8_r30_1.in,0.623030493036904,1079.8670241832733,5,0.44493275649642805,918.9699127674103,4
no-dem8_r45_1.in,0.27258096993209313,1093.0310168266296,5,0.20120151185151725,995.2310659885406,5
no-dem8_r50_1.in,0.2415128483298531,1132.0169067382812,5,0.08279064447649324,981.0304803848267,5
no-dem9_r25_1.in,0.8210846321985766,1088.841703414917,5,0.39743860576454687,922.4977042675018,4
no-dem9_r30_1.in,0.23030867133144226,1073.610246181488,5,0.11561842555715372,920.785195350647,4
no-dem9_r45_1.in,0.43404932213467445,903.6029090881348,4,0.45391481242773324,930.6422870159149,4
no-dem9_r50_1.in,0.5006307927127364,1093.0822143554688,5,0.3895252097528841,915.0510108470917,4
uu-dem10_r25_1.in,0.32203616320656747,1075.5193302631378,5,0.5824864849259717,927.6117060184479,4
uu-dem10_r30_1.in,0.6363086960898179,900.7679736614227,4,0.5941703867478961,916.8840165138245,4
uu-dem10_r45_1.in,0.19443583253231508,1092.8753507137299,5,0.20496570227003902,908.0762557983398,4
uu-dem10_r50_1.in,0.4421002131268972,1089.296513080597,5,0.37762930731894406,927.9991524219513,4
uu-dem1_r25_1.in,0.3412588316369857,1085.474755525589,5,0.5849249885536444,933.6998646259308,4
uu-dem1_r30_1.in,0.5674996843826083,1097.1837487220764,5,0.4471865606596916,947.8732359409332,4
uu-dem1_r45_1.in,0.5645763716074594,1126.5056829452515,5,0.5968742784323942,997.2270143032074,5
uu-dem1_r50_1.in,0.07887154798144862,1094.461965084076,5,0.34074964348810527,923.6830906867981,4
uu-dem2_r25_1.in,0.7678545183445301,905.3027901649475,4,0.8860517469399221,913.9227690696716,4
uu-dem2_r30_1.in,0.5616866166320488,913.2512760162354,4,0.5743027252646625,935.2468774318695,4
uu-dem2_r45_1.in,0.4524473338673722,1036.157730102539,5,0.544460771305381,935.6870017051697,4
uu-dem2_r50_1.in,0.1377534257392471,1104.8664619922638,5,0.30731907482063386,992.874499797821,5
uu-dem3_r25_1.in,0.3872816520478223,1076.7648084163666,5,0.4339532714571908,901.3067688941956,4
uu-dem3_r30_1.in,0.1387871067490429,1069.9500331878662,5,0.3038110656981925,919.7718570232391,4
uu-dem3_r45_1.in,0.2197597049723456,1074.5647311210632,5,0.18171909231779904,994.8413507938385,5
uu-dem3_r50_1.in,0.28425606208411086,1080.3987255096436,5,0.3229560239937064,909.9112284183502,4
uu-dem4_r25_1.in,0.344376023422112,1076.9955306053162,5,0.6233158946598939,921.418242931366,4
uu-dem4_r30_1.in,0.4575280261537274,1108.9004907608032,5,0.4968231661522802,932.1481218338013,4
uu-dem4_r45_1.in,0.31012542602876014,1095.8410518169403,5,0.22798707589891057,986.7009160518646,5
uu-dem4_r50_1.in,0.43298924510775544,900.3851163387299,4,0.4546103537917797,917.8422939777374,4
uu-dem5_r25_1.in,0.46662996492717695,1108.5318098068237,5,0.4023536555925688,937.5009512901306,4
uu-dem5_r30_1.in,0.46176307269984784,1108.7514877319336,5,0.6807154056962974,931.946209192276,4
uu-dem5_r45_1.in,0.2387760051348409,1081.5642540454865,5,0.26391982366163275,904.3581111431122,4
uu-dem5_r50_1.in,0.2630533775845003,1106.7712841033936,5,0.44253931687420134,911.4751234054565,4
uu-dem6_r25_1.in,0.3546582422401672,1079.99822306633,5,0.6337754705957275,922.3742461204529,4
uu-dem6_r30_1.in,0.7361565807846293,1081.8861107826233,5,0.36694011550197525,903.4331209659576,4
uu-dem6_r45_1.in,0.5999568642524492,1088.8385944366455,5,0.28483743886256463,995.7390444278717,5
uu-dem6_r50_1.in,0.2630220437789234,1092.019672870636,5,0.2706093938597559,904.9012818336487,4
uu-dem7_r25_1.in,0.3547114596436944,1073.0258948802948,5,0.3566990174365614,942.3817472457886,4
uu-dem7_r30_1.in,0.6101322786987433,1086.453667640686,5,0.22063022522569495,921.7809717655182,4
uu-dem7_r45_1.in,0.2614767719175516,1110.9662446975708,5,0.5210114290699814,929.3697974681854,4
uu-dem7_r50_1.in,0.16243219567990294,1116.8283002376556,5,0.4602837484842576,932.0937371253967,4
uu-dem8_r25_1.in,0.21853615662586062,1108.7020184993744,5,0.41211591578450574,943.1092739105225,4
uu-dem8_r30_1.in,0.44351329708624326,1124.9193167686462,5,0.28059778502620386,963.7597599029541,4
uu-dem8_r45_1.in,0.4468872153038753,1106.6685099601746,5,0.5044360842401218,925.7882692813873,4
uu-dem8_r50_1.in,0.32741265814794673,1136.4373972415924,5,0.16053163252670258,925.7896192073822,4
uu-dem9_r25_1.in,0.4594316612505057,1081.5061354637146,5,0.4572969235940376,925.0170814990997,4
uu-dem9_r30_1.in,0.23774419209416747,1086.5187282562256,5,0.29351443460320015,914.1719441413879,4
uu-dem9_r45_1.in,0.3257113547539138,1094.8197531700134,5,0.36202772901256935,918.6191613674164,4
uu-dem9_r50_1.in,0.4223735989471021,1090.7527072429657,5,0.20774175003975964,917.2334723472595,4
Mean PSO,Variance PSO,Running time PSO,Generations PSO,Mean GA,Variance GA,Running time GA,Generations GA
0.4036006855812435,0.03126141009852054,1079.3095103840033,4.958333333333333,0.4005087745574863,0.020747620104571124,930.1725975652536,4.125
